Temperature Anomaly,Month,Hemisphere,Year
-0.03,Oct,Global,1/1/1936
-0.09,Sep,Global,1/1/1936
-0.15,Apr,Global,1/1/1937
0.02,Aug,Global,1/1/1937
-0.07,Dec,Global,1/1/1937
0.03,Feb,Global,1/1/1937
-0.07,Jan,Global,1/1/1937
-0.03,Jul,Global,1/1/1937
-0.05,Jun,Global,1/1/1937
-0.2,Mar,Global,1/1/1937
-0.05,May,Global,1/1/1937
0.08,Nov,Global,1/1/1937
0.09,Oct,Global,1/1/1937
0.09,Sep,Global,1/1/1937
0.06,Apr,Global,1/1/1938
-0.05,Aug,Global,1/1/1938
-0.12,Dec,Global,1/1/1938
0.03,Feb,Global,1/1/1938
0.08,Jan,Global,1/1/1938
-0.09,Jul,Global,1/1/1938
-0.17,Jun,Global,1/1/1938
0.09,Mar,Global,1/1/1938
-0.09,May,Global,1/1/1938
0.08,Nov,Global,1/1/1938
0.15,Oct,Global,1/1/1938
0,Sep,Global,1/1/1938
-0.09,Apr,Global,1/1/1939
-0.06,Aug,Global,1/1/1939
0.44,Dec,Global,1/1/1939
-0.07,Feb,Global,1/1/1939
-0.05,Jan,Global,1/1/1939
-0.06,Jul,Global,1/1/1939
-0.07,Jun,Global,1/1/1939
-0.18,Mar,Global,1/1/1939
-0.04,May,Global,1/1/1939
0.07,Nov,Global,1/1/1939
-0.04,Oct,Global,1/1/1939
-0.07,Sep,Global,1/1/1939
0.17,Apr,Global,1/1/1940
0.07,Aug,Global,1/1/1940
0.32,Dec,Global,1/1/1940
0.08,Feb,Global,1/1/1940
0,Jan,Global,1/1/1940
0.12,Jul,Global,1/1/1940
0.11,Jun,Global,1/1/1940
0.09,Mar,Global,1/1/1940
0.11,May,Global,1/1/1940
0.17,Nov,Global,1/1/1940
0.11,Oct,Global,1/1/1940
0.15,Sep,Global,1/1/1940
0.16,Apr,Global,1/1/1941
0.15,Aug,Global,1/1/1941
0.21,Dec,Global,1/1/1941
0.31,Feb,Global,1/1/1941
0.18,Jan,Global,1/1/1941
0.22,Jul,Global,1/1/1941
0.13,Jun,Global,1/1/1941
